Name,Label,Length,Key Type,Integration Keys Supported,Integration Object Name,User Key,Required,Lookup,Description
ElementEntryId,Element Entry ID,18,Surrogate ID,Yes,ElementEntry,"ElementName, LegislativeDataGroupName, EntryType, MultipleEntryCount, AssignmentNumber",Yes,,An application generated value to uniquely identify the element entry. Not available when creating new records.
AssignmentNumber,Assignment Number,30,User Key,,,,No,,The number of the person's assignment for the element entry.
ElementName,Element Name,80,User Key,,,,No,,"The name of the element this entry is for, such as Performance Bonus."
EntryType,Entry Type,30,User Key,,,,For new records,PAY_ENTRY_TYPE,"The type of record, such as element entry, or override."
LegislativeDataGroupName,Legislative Data Group Name,240,User Key,,,,No,,The name of the legislative data group.
MultipleEntryCount,Multiple Entry Count,18,User Key,,,,No,,A number to uniquely identify the element entry when multiple entries exist for the person and element in the same period.
EffectiveEndDate,Effective End Date,,,,,,No,,"The end date of the date-effective changes. If left blank, the effective end date is the end of time by default."
EffectiveStartDate,Effective Start Date,,,,,,Yes,,The start date of the record or of date-effective changes to the record.
AssignmentId,Assignment ID,18,Foreign Object Reference,No,,AssignmentNumber,No,,The surrogate ID of the payroll assignment this element entry is for.
CreatorType,Creator Type,30,,,,,For new records,PAY_CREATOR_TYPE,"The name for the type of user or process that created the record, such as batch element entry."
DateEarned,Date Earned,,,,,,No,,"The date used to identify the element entries that must be included in the payroll run. For example, if the date earned for a payroll run is 6th April, then all entries that are active as of this date are included."
ElementTypeId,Element Type ID,18,Foreign Object Reference,Yes,ElementType,"ElementName, LegislativeDataGroupName",For new records,,A unique reference to the element type this entry is for.
HrAssignmentId,HR Assignment ID,18,Foreign Object Reference,Yes,Assignment,AssignmentNumber,No,,A unique reference to the assignment associated to the employee.
LegislativeDataGroupId,Legislative Data Group ID,,Foreign Object Reference,Yes,LegislativeDataGroups,LegislativeDataGroupName,No,,A unique reference to the legislative data group.
Reason,Reason,4000,,,,,No,,The reason for creating or updating the element entry.
Subpriority,Subpriority,9,,,,,No,,Determines the sequence for processing element entries that have the same priority.
SourceSystemId,Source System ID,100,Source Key,,,,No,,A value to uniquely identify this record. This must be unique for the source system owner and business object component.
SourceSystemOwner,Source System Owner,30,Source Key,,,,No,,The name of the source system used to generate the source system ID.
GUID,Globally Unique ID,32,Globally Unique ID,,,,No,,"The globally unique ID. Only available to reference existing records, it cannot be supplied for new records."
SourceRefTableName,Reference Context,200,,,,,No,,"The context for the user-defined references provided for this component. Don't supply values for this attribute, instead specify the context against this attribute in the METADATA line using the format: SourceRefTableName= context. For example: SourceRefTableName=Store Information."
SourceRef001,Reference 1,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef002,Reference 2,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef003,Reference 3,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef004,Reference 4,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef005,Reference 5,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef006,Reference 6,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef007,Reference 7,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef008,Reference 8,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef009,Reference 9,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef010,Reference 10,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
