Name,Label,Length,Key Type,Integration Keys Supported,Integration Object Name,User Key,Required,Lookup,Description
ElementEntryValueId,Element Entry Value ID,18,Surrogate ID,Yes,ElementEntryValue,"InputValueName, ElementName, LegislativeDataGroupName, EntryType, MultipleEntryCount, AssignmentNumber",Yes,,The application generated value to uniquely identify the element entry value. Not available when creating new records.
AssignmentNumber,Assignment Number,30,User Key,,,,No,,The number that identifies the person's assignment.
ElementName,Element Name,80,User Key,,,,No,,"The name of the element this entry is for, such as Performance Bonus."
EntryType,Entry Type,30,User Key,,,,No,PAY_ENTRY_TYPE,"The type of record, such as element entry, or override."
InputValueName,Input Value Name,80,User Key,,,,No,,The name of the input value this element entry value is for.
LegislativeDataGroupName,Legislative Data Group Name,240,User Key,,,,No,,The name of the legislative data group.
MultipleEntryCount,Multiple Entry Count,18,User Key,,,,No,,Specify the multiple entry count provided in the element entry record that this value is for.
ElementEntryId,Element Entry ID,18,Parent Surrogate ID,Yes,ElementEntry,"ElementName, LegislativeDataGroupName, EntryType, MultipleEntryCount, AssignmentNumber",Yes,,A unique reference to the element entry this input value is for.
EffectiveEndDate,Effective End Date,,,,,,No,,"The end date of the date-effective changes. If left blank, the effective end date is the end of time by default."
EffectiveStartDate,Effective Start Date,,,,,,Yes,,The start date of the record or of date-effective changes to the record.
AssignmentId,Assignment ID,18,Foreign Object Reference,No,,AssignmentNumber,No,,A unique reference to the assignment this element entry input value is for.
ElementTypeId,Element Type ID,,Foreign Object Reference,Yes,ElementType,"ElementName, LegislativeDataGroupName",No,,A unique reference to the element type.
ScreenEntryValue,Entry Value,60,,,,,No,,The entry for input values available for each entry of the element.
HrAssignmentId,HR Assignment ID,18,Foreign Object Reference,Yes,Assignment,AssignmentNumber,No,,A unique reference to the assignment associated to the employee.
InputValueId,Input Value ID,18,Foreign Object Reference,Yes,InputValue,"InputValueName, ElementName, LegislativeDataGroupName",For new records,,A unique reference to the input value this value is for.
LegislativeDataGroupId,Legislative Data Group ID,,Foreign Object Reference,Yes,LegislativeDataGroups,LegislativeDataGroupName,No,,A unique reference to the legislative data group.
SourceSystemId,Source System ID,100,Source Key,,,,No,,A value to uniquely identify this record. This must be unique for the source system owner and business object component.
SourceSystemOwner,Source System Owner,30,Source Key,,,,No,,The name of the source system used to generate the source system ID.
GUID,Globally Unique ID,32,Globally Unique ID,,,,No,,"The globally unique ID. Only available to reference existing records, it cannot be supplied for new records."
SourceRefTableName,Reference Context,200,,,,,No,,"The context for the user-defined references provided for this component. Don't supply values for this attribute, instead specify the context against this attribute in the METADATA line using the format: SourceRefTableName= context. For example: SourceRefTableName=Store Information."
SourceRef001,Reference 1,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef002,Reference 2,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef003,Reference 3,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef004,Reference 4,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef005,Reference 5,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef006,Reference 6,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef007,Reference 7,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef008,Reference 8,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef009,Reference 9,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef010,Reference 10,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
