Name,Label,Length,Key Type,Integration Keys Supported,Integration Object Name,User Key,Required,Lookup,Description
ObjectGroupStoreId,Object Group Store ID,18,Surrogate ID,Yes,ObjectGroupStore,"LegislativeDataGroupName, ObjectGroupCode, SequenceNumber",Yes,,An application generated value to uniquely identify the record. This is only available when updating an existing record.
LegislativeDataGroupName,Legislative Data Group Name,240,User Key,,,,No,,The name of the legislative data group.
ObjectGroupCode,Object Group Code,80,User Key,,,,No,,The name of the object group.
SequenceNumber,Sequence Number,18,User Key,,,,No,,The sequence of the object group store within this parent object group.
LegislativeDataGroupId,Legislative Data Group ID,18,Foreign Object Reference,Yes,LegislativeDataGroups,LegislativeDataGroupName,No,,A unique reference to the legislative data group.
ObjectGroupId,Object Group ID,18,Foreign Object Reference,Yes,ObjectGroup,"LegislativeDataGroupName, ObjectGroupCode",For new records,,A unique reference to the object group.
SourceSystemId,Source System ID,100,Source Key,,,,No,,A value to uniquely identify this record. This must be unique for the source system owner and business object component.
SourceSystemOwner,Source System Owner,30,Source Key,,,,No,,The name of the source system used to generate the source system ID.
GUID,Globally Unique ID,32,Globally Unique ID,,,,No,,"The globally unique ID. Only available to reference existing records, it cannot be supplied for new records."
SourceRefTableName,Reference Context,200,,,,,No,,"The context for the user-defined references provided for this component. Don't supply values for this attribute, instead specify the context against this attribute in the METADATA line using the format: SourceRefTableName= context. For example: SourceRefTableName=Store Information."
SourceRef001,Reference 1,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef002,Reference 2,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef003,Reference 3,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef004,Reference 4,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef005,Reference 5,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef006,Reference 6,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef007,Reference 7,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef008,Reference 8,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef009,Reference 9,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
SourceRef010,Reference 10,200,,,,,No,,"A user-defined reference value used for reporting and reconciling your data in the staging tables. This information is not saved in the application. You name your reference on the METADATA line using the format Attribute name = Reference name. For example, SourceRef001=Assignment Number."
